1	Robert Downey Jr	1965-04-04	m	Iron Man	married	"Manhattan,New York,USA"
2	Terrence Howard	1969-03-11	m	Iron Man	Divorced	"Chicago, Illinois, U.S."
3	Jeffrey Leon Bridges	1949-12-04	m	Iron Man	Married	"Los Angeles, California, U.S."
4	Scarlett Johansson	1984-11-22	f	Iron Man 2	Married	"New York, New York, U.S."
5	Gwyneth Kate Paltrow	1972-09-27	f	Iron Man 2	Seperated	"Los Angeles, California, United States"
6	Donald Frank Cheadle Jr.	1964-11-29	m	Iron Man 2	Married	"Kansas City, Missouri, U.S."
7	Guy Edward Pearce	1967-10-05	m	Iron Man 3	Married	"Ely, Cambridgeshire, England, UK"
8	Rebecca Maria Hall	1982-05-03	f	Iron Man 3	Unmarried	"London, England"
9	James Badgett Dale	1978-05-01	m	Iron Man 3	Unmarried	"New York City, New York, U.S."
10	Christian Charles Philip Bale	1974-01-30	m	Batman Begins	Married	"Haverfordwest, Pembrokeshire, Wales"
11	Maurice Joseph Micklewhite	1933-03-14	m	Batman Begins	Married	"Rotherhithe, Bermondsey, London, England"
12	Liam John Neeson	1952-06-07	m	Batman Begins	Widower	"Ballymena, County Antrim, Northern Ireland"
13	Aaron Edward Eckhart	1968-03-12	m	The Dark Knight	Unmarried	"Cupertino, California, U.S."
14	Margalit Ruth Gyllenhaal	1977-11-16	f	The Dark Knight	Married	"New York City, New York, US"
15	Heath Andrew Ledger	1979-04-04	m	The Dark Knight	Married	"New York City, New York, U.S."
16	Anne Jacqueline Hathaway	1982-11-12	f	The Dark Knight Rises	Married	"Brooklyn, New York City, New York"
17	Edward Thomas Hardy	1977-09-15	m	The Dark Knight Rises	Married	"Hammersmith, London, England"
18	Gary Leonard Oldman	1958-03-21	m	The Dark Knight Rises	Married	"New Cross, London, England"
19	Patrick Stewart	1940-07-13	m	X-Men	Married	"Mirfield, West Riding of Yorkshire, England, UK"
20	Hugh Michael Jackman	1968-10-12	m	X-Men	Married	"Sydney, New South Wales, Australia"
21	Ian Murray McKellen	1939-05-25	m	X-Men	Widower	"Burnley, Lancashire, England, UK"
22	Famke Beumer Janssen	1965-11-05	f	X-Men:X2	Divorced	"Amstelveen, Netherlands"
23	James Paul Marsden	1973-09-18	m	X-Men:X2	Divorced	"Stillwater, Oklahoma, U.S."
24	Rebecca Alie Romijn	1972-11-06	f	X-Men:X2	Married	"Berkeley, California, U.S."
25	Maria Halle Berry	1966-08-14	f	X-Men:The Last Stand	Divorced	"Cleveland, Ohio, U.S."
26	Isaac Liev Schreiber	1967-10-04	m	X-Men Origins:Wolverine	Married	"San Francisco, California, U.S."
27	Daniel Sallis Huston	1962-05-14	m	X-Men Origins:Wolverine	"Widower	"	"Rome, Italy"
28	James McAvoy	1979-04-21	m	X-Men:First Class	James McAvoy	"Port Glasgow, Scotland	"
29	Michael Fassbender	1977-04-02	m	X-Men:First Class	Unmarried	"Heidelberg, Baden-Württemberg, West Germany"
30	Mary Rose Byrne	1979-07-24	f	X-Men:First Class	Unmarried	"Balmain, New South Wales, Australia"
31	Hiroyuki Shimosawa	1960-10-12	m	X-Men:The Wolverine	Divorced	"Tokyo, Japan"
32	Tao Okamoto	1985-05-22	f	X-Men:The Wolverine	Unmarried	"Chiba, Japan"
33	Daniel Jacob Radcliffe	1989-07-23	m	Harry Potter and the Philosopher's Stone	Unmarried	"Fulham, London, England"
34	Rupert Alexander Lloyd Grint	1988-08-24	m	Harry Potter and the Philosopher's Stone	Unmarried	"Harlow, Essex, England"
35	Emma Charlotte Duerre Watson	1990-04-15	f	Harry Potter and the Philosopher's Stone	Unmarried	"Paris, France"
